isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_456,>8,R,16/2,R
AMC_457,<=2,S,<=2/2,S
AMC_458,>8,R,4/2,S
AMC_459,<=2,S,4/2,S
AMC_460,>8,R,>32/2,R
AMC_461,>8,R,8/2,S
AMC_462,<=2,S,<=2/2,S
AMC_463,<=2,S,4/2,S
AMC_464,>8,R,8/2,S
AMC_465,>8,R,32/2,R
AMC_466,>8,R,16/2,R
AMC_467,>8,R,>32/2,R
AMC_468,>8,R,8/2,S
AMC_469,>8,R,32/2,R
AMC_470,<=2,S,4/2,S
AMC_471,>8,R,8/2,S
AMC_472,<=2,S,4/2,S
AMC_473,<=2,S,4/2,S
AMC_474,>8,R,8/2,S
AMC_475,>8,R,4/2,S
AMC_476,>8,R,32/2,R
AMC_477,<=2,S,4/2,S
AMC_478,>8,R,16/2,R
AMC_479,>8,R,>32/2,R
AMC_480,<=2,S,4/2,S
AMC_481,>8,R,32/2,R
AMC_482,>8,R,4/2,S
AMC_483,>8,R,>32/2,R
AMC_484,<=2,S,4/2,S
AMC_485,>8,R,>32/2,R
AMC_486,<=2,S,4/2,S
AMC_487,>8,R,>32/2,R
AMC_488,>8,R,>32/2,R
AMC_489,>8,R,32/2,R
AMC_490,>8,R,>32/2,R
AMC_491,4,S,4/2,S
AMC_492,<=2,S,<=2/2,S
AMC_493,>8,R,>32/2,R
AMC_494,<=2,S,4/2,S
AMC_495,>8,R,8/2,S
AMC_496,<=2,S,4/2,S
AMC_497,<=2,S,4/2,S
AMC_498,<=2,S,4/2,S
AMC_499,<=2,S,<=2/2,S
AMC_500,>8,R,16/2,R
AMC_501,<=2,S,4/2,S
AMC_502,<=2,S,<=2/2,S
AMC_503,<=2,S,<=2/2,S
AMC_504,>8,R,>32/2,R
AMC_505,>8,R,8/2,S
AMC_506,<=2,S,4/2,S
AMC_507,<=2,S,4/2,S
AMC_508,>8,R,>32/2,R
AMC_509,>8,R,8/2,S
AMC_510,>8,R,32/2,R
AMC_511,>8,R,<=2/2,S
AMC_512,>8,R,>32/2,R
AMC_513,<=2,S,4/2,S
AMC_514,>8,R,8/2,S
AMC_515,<=2,S,<=2/2,S
AMC_516,<=2,S,<=2/2,S
AMC_517,<=2,S,4/2,S
AMC_518,>8,R,8/2,S
AMC_519,4,S,8/2,S
AMC_520,<=2,S,4/2,S
AMC_521,8,S,16/2,R
AMC_522,<=2,S,<=2/2,S
AMC_523,4,S,4/2,S
AMC_524,>8,R,>32/2,R
AMC_525,>8,R,8/2,S
AMC_526,>8,R,16/2,R
AMC_527,<=2,S,4/2,S
AMC_528,<=2,S,<=2/2,S
AMC_529,<=2,S,4/2,S
AMC_530,<=2,S,4/2,S
AMC_531,<=2,S,<=2/2,S
AMC_532,4,S,8/2,S
AMC_533,>8,R,>32/2,R
AMC_534,>8,R,8/2,S
AMC_535,>8,R,>32/2,R
AMC_536,>8,R,>32/2,R
AMC_537,<=2,S,4/2,S
AMC_538,<=2,S,4/2,S
AMC_539,>8,R,>32/2,R
AMC_540,>8,R,32/2,R
AMC_541,>8,R,16/2,R
AMC_542,>8,R,8/2,S
AMC_543,>8,R,>32/2,R
AMC_544,<=2,S,4/2,S
AMC_545,<=2,S,4/2,S
AMC_546,<=2,S,4/2,S
AMC_547,>8,R,>32/2,R
AMC_548,<=2,S,4/2,S
AMC_549,>8,R,16/2,R
AMC_550,>8,R,>32/2,R
AMC_551,>8,R,16/2,R
AMC_552,>8,R,4/2,S
AMC_553,>8,R,4/2,S
AMC_554,>8,R,8/2,S
AMC_555,<=2,S,<=2/2,S
AMC_556,>8,R,8/2,S
AMC_557,>8,R,8/2,S
AMC_558,>8,R,>32/2,R
AMC_559,<=2,S,4/2,S
AMC_560,8,S,16/2,R
AMC_561,<=2,S,<=2/2,S
AMC_562,<=2,S,<=2/2,S
AMC_563,<=2,S,4/2,S
AMC_564,>8,R,>32/2,R
AMC_565,<=2,S,4/2,S
AMC_566,<=2,S,<=2/2,S
AMC_567,<=2,S,<=2/2,S
AMC_568,>8,R,8/2,S
AMC_569,>8,R,32/2,R
AMC_570,<=2,S,<=2/2,S
AMC_571,>8,R,>32/2,R
AMC_572,<=2,S,4/2,S
AMC_573,<=2,S,4/2,S
AMC_574,<=2,S,<=2/2,S
AMC_575,>8,R,16/2,R
AMC_576,>8,R,4/2,S
AMC_577,>8,R,8/2,S
AMC_578,>8,R,8/2,S
AMC_579,<=2,S,<=2/2,S
AMC_580,8,S,16/2,R
AMC_581,8,S,4/2,S
AMC_582,<=2,S,4/2,S
AMC_583,<=2,S,4/2,S
AMC_584,>8,R,>32/2,R
AMC_585,>8,R,32/2,R
AMC_586,>8,R,4/2,S
AMC_587,>8,R,16/2,R
AMC_588,>8,R,>32/2,R
AMC_589,<=2,S,<=2/2,S
AMC_590,>8,R,32/2,R
AMC_591,>8,R,4/2,S
AMC_592,>8,R,4/2,S
AMC_593,<=2,S,8/2,S
AMC_594,>8,R,16/2,R
AMC_595,>8,R,4/2,S
AMC_596,<=2,S,<=2/2,S
AMC_597,<=2,S,4/2,S
AMC_598,>8,R,16/2,R
AMC_599,<=2,S,4/2,S
AMC_600,>8,R,16/2,R
AMC_601,<=2,S,<=2/2,S
AMC_602,<=2,S,<=2/2,S
AMC_603,>8,R,>32/2,R
AMC_604,>8,R,4/2,S
AMC_605,>8,R,>32/2,R
AMC_606,>8,R,32/2,R
AMC_607,<=2,S,4/2,S
AMC_608,<=2,S,<=2/2,S
AMC_609,>8,R,>32/2,R
AMC_610,>8,R,4/2,S
AMC_611,>8,R,8/2,S
AMC_612,>8,R,32/2,R
AMC_613,>8,R,>32/2,R
AMC_614,<=2,S,4/2,S
AMC_615,>8,R,>32/2,R
AMC_616,<=2,S,4/2,S
AMC_617,>8,R,8/2,S
AMC_618,>8,R,8/2,S
AMC_619,>8,R,>32/2,R
AMC_620,>8,R,16/2,R
AMC_621,>8,R,>32/2,R
AMC_622,>8,R,4/2,S
AMC_623,<=2,S,<=2/2,S
AMC_624,>8,R,8/2,S
AMC_625,<=2,S,4/2,S
AMC_626,>8,R,>32/2,R
AMC_627,<=2,S,<=2/2,S
AMC_628,<=2,S,4/2,S
AMC_629,>8,R,>32/2,R
AMC_630,<=2,S,4/2,S
AMC_631,4,S,8/2,S
AMC_632,>8,R,32/2,R
AMC_633,>8,R,8/2,S
AMC_634,>8,R,32/2,R
AMC_635,>8,R,8/2,S
AMC_636,>8,R,32/2,R
AMC_637,>8,R,>32/2,R
AMC_638,>8,R,>32/2,R
AMC_639,>8,R,4/2,S
AMC_640,<=2,S,<=2/2,S
AMC_641,<=2,S,4/2,S
AMC_642,<=2,S,4/2,S
AMC_643,<=2,S,4/2,S
AMC_644,>8,R,>32/2,R
AMC_645,>8,R,16/2,R
AMC_646,>8,R,8/2,S
AMC_647,>8,R,16/2,R
AMC_648,4,S,4/2,S
AMC_649,>8,R,>32/2,R
AMC_650,>8,R,>32/2,R
AMC_651,>8,R,8/2,S
AMC_652,>8,R,8/2,S
AMC_653,<=2,S,4/2,S
AMC_654,>8,R,8/2,S
AMC_655,>8,R,>32/2,R
AMC_656,>8,R,>32/2,R
AMC_657,<=2,S,8/2,S
AMC_658,<=2,S,4/2,S
AMC_659,<=2,S,4/2,S
AMC_660,>8,R,32/2,R
AMC_661,<=2,S,<=2/2,S
AMC_662,<=2,S,4/2,S
AMC_663,>8,R,32/2,R
AMC_664,<=2,S,<=2/2,S
AMC_665,>8,R,16/2,R
AMC_666,>8,R,8/2,S
AMC_667,>8,R,16/2,R
AMC_668,<=2,S,4/2,S
AMC_669,>8,R,>32/2,R
AMC_670,>8,R,8/2,S
AMC_671,4,S,8/2,S
AMC_672,>8,R,4/2,S
AMC_673,>8,R,8/2,S
AMC_674,<=2,S,<=2/2,S
AMC_675,<=2,S,<=2/2,S
AMC_676,<=2,S,4/2,S
AMC_677,>8,R,>32/2,R
AMC_678,<=2,S,<=2/2,S
AMC_679,>8,R,16/2,R
AMC_680,>8,R,8/2,S
AMC_681,>8,R,>32/2,R
AMC_682,>8,R,4/2,S
AMC_683,>8,R,16/2,R
AMC_684,>8,R,<=2/2,S
AMC_685,<=2,S,<=2/2,S
AMC_686,>8,R,>32/2,R
